"año","mes","día","total_baja","descrp"
2016,2,2,9,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  241 MVA a 22 °C con Sol  flujo N>S. "
2016,2,2,9,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  229 MVA a 24 °C con Sol  flujo N>S. "
2016,2,2,9,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  216 MVA a 26 °C con Sol  flujo N>S. "
2016,2,2,9,"Redistribución de Potencia Aumento en carga eólica PE Taltal -52 MW"
2016,2,2,9,"Redistribución de Potencia Disminución de carga eólica PE Taltal 20 MW"
2016,2,2,9,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  202 MVA a 28 °C con Sol  flujo N>S. "
2016,2,3,7,"Central sin variación por Línea 220 kV San Andrés - Cardones"
2016,2,3,7,"Central sin variación por Línea 220 kV San Andrés - Cardones"
2016,2,3,7,"Central sin variación por Línea 220 kV San Andrés - Cardones"
2016,2,3,7,"Redistribución de Potencia disminución en carga eólica de PE Taltal 20 MW"
2016,2,3,7,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  222 MVA a 25 °C con Sol  flujo N>S. "
2016,2,3,7,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  216 MVA a 26 °C con Sol  flujo N>S. "
2016,2,3,7,"Redistribución de Potencia Aumento en carga eólica PE Taltal -30 MW"
2016,2,3,7,"Redistribución de Potencia Disminución de carga eólica de C. Taltal. 20 MW"
2016,2,3,7,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  209 MVA a 27 °C con Sol  flujo N>S. "
2016,2,3,7,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones. 216 MVA a 26 °C con Sol"
2016,2,4,3,"Central sin variación por Línea 220 kV San Andrés - Cardones"
2016,2,4,3,"Central sin variación por Línea 220 kV San Andrés - Cardones"
2016,2,4,3,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  253 MVA a 20 °C con Sol  flujo N>S. "
2016,2,4,3,"Central sin variación por Línea 220 kV San Andrés - Cardones"
2016,2,4,3,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones. 194 MVA a 29 °C con Sol  flujo N>S. "
2016,2,4,3,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones. 202 MVA a 28 °C con Sol  flujo N>S. "
