"Year","Month","Day","Generacion_MWh"
"2015",1,1,6.72166666666667
"2016",1,1,6.78125
"2015",2,1,6.16833333333333
"2016",2,1,6.13458333333333
"2015",3,1,6.06458333333333
"2016",3,1,5.90208333333333
"2014",4,1,2.39833333333333
"2015",4,1,5.56375
"2016",4,1,5.17208333333333
"2014",5,1,4.94291666666667
"2015",5,1,4.57416666666667
"2016",5,1,4.64291666666667
"2014",6,1,4.38875
"2015",6,1,3.83833333333333
"2016",6,1,4.30791666666667
"2014",7,1,4.09041666666667
"2015",7,1,4.20958333333333
"2016",7,1,4.0675
"2014",8,1,4.73583333333333
"2015",8,1,4.68958333333333
"2016",8,1,4.54541666666667
"2014",9,1,5.29833333333333
"2015",9,1,5.405
"2016",9,1,5.32208333333333
"2014",10,1,1.34708333333333
"2015",10,1,6.17041666666667
"2016",10,1,6.22041666666667
"2014",11,1,6.55583333333333
"2015",11,1,6.7625
"2014",12,1,6.81208333333333
"2015",12,1,5.3875
"2015",1,2,6.22333333333333
"2016",1,2,6.78041666666667
"2015",2,2,5.39041666666667
"2016",2,2,6.39541666666667
"2015",3,2,6.15583333333333
"2016",3,2,5.59916666666667
"2014",4,2,0
"2015",4,2,5.61375
"2016",4,2,5.37666666666667
"2014",5,2,4.94791666666667
"2015",5,2,4.73041666666667
"2016",5,2,4.70916666666667
"2014",6,2,4.44875
"2015",6,2,4.41083333333333
"2016",6,2,4.28
"2014",7,2,1.81208333333333
"2015",7,2,4.22375
"2016",7,2,3.6975
"2014",8,2,4.88791666666667
"2015",8,2,4.83666666666667
"2016",8,2,4.68541666666667
"2014",9,2,5.41083333333333
"2015",9,2,5.0425
"2016",9,2,5.14916666666667
"2014",10,2,0
"2015",10,2,3.02041666666667
"2016",10,2,6.13916666666667
"2014",11,2,6.44083333333333
"2015",11,2,5.9875
"2014",12,2,6.84166666666667
"2015",12,2,6.49916666666667
"2015",1,3,6.46958333333333
"2016",1,3,6.44083333333333
"2015",2,3,5.84791666666667
"2016",2,3,6.62291666666667
"2015",3,3,6.14625
"2016",3,3,5.87291666666667
"2014",4,3,0.16625
"2015",4,3,5.53291666666667
"2016",4,3,5.2025
"2014",5,3,4.85833333333333
"2015",5,3,4.74458333333333
"2016",5,3,4.73833333333333
"2014",6,3,4.51916666666667
"2015",6,3,4.41083333333333
"2016",6,3,4.24875
"2014",7,3,4.295
"2015",7,3,3.22208333333333
"2016",7,3,3.72666666666667
"2014",8,3,4.80708333333333
"2015",8,3,4.77375
"2016",8,3,4.61083333333333
"2014",9,3,5.27333333333333
"2015",9,3,5.21541666666667
"2016",9,3,5.51666666666667
"2014",10,3,4.77708333333333
"2015",10,3,5.03958333333333
"2016",10,3,5.99458333333333
"2014",11,3,6.79583333333333
"2015",11,3,6.81791666666667
"2014",12,3,6.73583333333333
"2015",12,3,6.86083333333333
"2015",1,4,5.36916666666667
"2016",1,4,6.83875
"2015",2,4,4.25875
"2016",2,4,6.59
"2015",3,4,6.14625
"2016",3,4,6.13875
"2014",4,4,1.88458333333333
"2015",4,4,5.49458333333333
"2016",4,4,4.53416666666667
"2014",5,4,2.87208333333333
"2015",5,4,4.85416666666667
"2016",5,4,4.22833333333333
"2014",6,4,3.47208333333333
"2015",6,4,4.35083333333333
"2016",6,4,4.28458333333333
"2014",7,4,2.96541666666667
"2015",7,4,3.56916666666667
"2016",7,4,3.34458333333333
"2014",8,4,4.90916666666667
"2015",8,4,4.675
"2016",8,4,4.71791666666667
"2014",9,4,5.1525
"2015",9,4,5.06916666666667
"2016",9,4,5.53916666666667
"2014",10,4,5.59625
"2015",10,4,0.200416666666667
"2016",10,4,6.34791666666667
"2014",11,4,6.8225
"2015",11,4,6.71041666666667
"2014",12,4,6.60458333333333
"2015",12,4,6.86958333333333
"2015",1,5,5.47
"2016",1,5,6.59666666666667
"2015",2,5,5.52916666666667
"2016",2,5,6.55291666666667
"2015",3,5,6.14666666666667
"2016",3,5,5.95291666666667
"2014",4,5,1.88458333333333
"2015",4,5,5.2525
"2016",4,5,4.31875
"2014",5,5,4.70916666666667
"2015",5,5,4.88333333333333
"2016",5,5,4.62208333333333
"2014",6,5,4.27125
"2015",6,5,4.38041666666667
"2016",6,5,4.31833333333333
"2014",7,5,4.2775
"2015",7,5,4.15541666666667
"2016",7,5,3.86791666666667
"2014",8,5,4.64416666666667
"2015",8,5,4.675
"2016",8,5,4.88125
"2014",9,5,5.51541666666667
"2015",9,5,5.18041666666667
"2016",9,5,5.52291666666667
"2014",10,5,4.50625
"2015",10,5,6.29875
"2016",10,5,6.31958333333333
"2014",11,5,6.54541666666667
"2015",11,5,6.72041666666667
"2014",12,5,6.57625
"2015",12,5,6.83333333333333
"2015",1,6,6.46458333333333
"2016",1,6,6.40541666666667
"2015",2,6,5.10875
"2016",2,6,6.28041666666667
"2015",3,6,6.49958333333333
"2016",3,6,5.9875
"2014",4,6,1.64166666666667
"2015",4,6,5.10083333333333
"2016",4,6,5.16625
"2014",5,6,4.86375
"2015",5,6,4.87791666666667
"2016",5,6,4.60416666666667
"2014",6,6,3.77791666666667
"2015",6,6,3.57416666666667
"2016",6,6,4.11416666666667
"2014",7,6,2.5725
"2015",7,6,3.13708333333333
"2016",7,6,4.1025
"2014",8,6,4.83875
"2015",8,6,4.7275
"2016",8,6,3.84916666666667
"2014",9,6,4.98875
"2015",9,6,5.28333333333333
"2016",9,6,5.03791666666667
"2014",10,6,2.75541666666667
"2015",10,6,6.32625
"2016",10,6,6.4125
"2014",11,6,6.86166666666667
"2015",11,6,6.61041666666667
"2014",12,6,6.72375
"2015",12,6,6.88833333333333
"2015",1,7,6.64875
"2016",1,7,6.23666666666667
"2015",2,7,3.43333333333333
"2016",2,7,5.23041666666667
"2015",3,7,5.68541666666667
"2016",3,7,6.05166666666667
"2014",4,7,1.50833333333333
"2015",4,7,4.535
"2016",4,7,4.83333333333333
"2014",5,7,4.86791666666667
"2015",5,7,3.90416666666667
"2016",5,7,4.0875
"2014",6,7,4.20666666666667
"2015",6,7,4.34
"2016",6,7,4.28875
"2014",7,7,4.1525
"2015",7,7,3.63
"2016",7,7,2.00708333333333
"2014",8,7,2.14208333333333
"2015",8,7,4.78458333333333
"2016",8,7,4.88833333333333
"2014",9,7,5.77652173913043
"2015",9,7,5.47375
"2016",9,7,5.46958333333333
"2014",10,7,5.32166666666667
"2015",10,7,5.86708333333333
"2016",10,7,6.43166666666667
"2014",11,7,5.84875
"2015",11,7,6.51041666666667
"2014",12,7,6.72666666666667
"2015",12,7,6.77333333333333
"2015",1,8,6.02166666666667
"2016",1,8,6.46041666666667
"2015",2,8,5.23625
"2016",2,8,6.165
"2015",3,8,5.51041666666667
