"año","mes","día","total_baja","descrp"
2016,2,2,37,"Prorrata por Control TX Línea 220 kV C. Pinto - San Andrés  253 MVA a 20 °C con Sol  flujo N>S. "
2016,2,2,37,"Redistribución de Potencia Menor carga eólica PE Taltal 35 MW"
2016,2,2,37,"Redistribución de Potencia Menor carga eólica PE Taltal 10 MW"
2016,2,2,37,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  241 MVA a 22 °C con Sol  flujo N>S. "
2016,2,2,37,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  229 MVA a 24 °C con Sol  flujo N>S. "
2016,2,2,37,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  216 MVA a 26 °C con Sol  flujo N>S. "
2016,2,2,37,"Redistribución de Potencia Aumento en carga eólica PE Taltal -52 MW"
2016,2,2,37,"Redistribución de Potencia Disminución de carga eólica PE Taltal 20 MW"
2016,2,2,37,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  202 MVA a 28 °C con Sol  flujo N>S. "
2016,2,3,36,"Prorrata por Control TX Línea 220 kV C. Pinto - San Andrés  253 MVA a 20 °C con Sol  flujo N>S. "
2016,2,3,36,"Prorrata por Control TX Línea 220 kV C. Pinto - San Andrés  241 MVA a 22 °C con Sol  flujo N>S. "
2016,2,3,36,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  253 MVA a 20 °C con Sol  flujo N>S. "
2016,2,3,36,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  253 MVA a 20 °C con Sol  flujo N>S. "
2016,2,3,36,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  247 MVA a 21 °C con Sol  flujo N>S. "
2016,2,3,36,"Redistribución de Potencia disminución en carga eólica de PE Taltal 20 MW"
2016,2,3,36,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  222 MVA a 25 °C con Sol  flujo N>S. "
2016,2,3,36,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  216 MVA a 26 °C con Sol  flujo N>S. "
2016,2,3,36,"Redistribución de Potencia Aumento en carga eólica PE Taltal -30 MW"
2016,2,3,36,"Redistribución de Potencia Disminución de carga eólica de C. Taltal. 20 MW"
2016,2,3,36,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  209 MVA a 27 °C con Sol  flujo N>S. "
2016,2,3,36,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones. 216 MVA a 26 °C con Sol"
2016,2,4,36,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  253 MVA a 20 °C con Sol  flujo N>S. "
2016,2,4,36,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  253 MVA a 20 °C con Sol  flujo N>S. "
2016,2,4,36,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  253 MVA a 20 °C con Sol  flujo N>S. "
2016,2,4,36,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  235 MVA a 23 °C con Sol  flujo N>S. "
2016,2,4,36,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones. 194 MVA a 29 °C con Sol  flujo N>S. "
2016,2,4,36,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones. 202 MVA a 28 °C con Sol  flujo N>S. "
2016,2,4,36,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones. 202 MVA a 28 °C con Sol  flujo N>S. "
2016,2,5,31,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  253 MVA a 20 °C con Sol  flujo N>S. "
2016,2,5,31,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  235 MVA a 23 °C con Sol  flujo N>S. "
2016,2,5,31,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  229 MVA a 24 °C con Sol  flujo N>S. "
2016,2,5,31,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  222 MVA a 25 °C con Sol  flujo N>S. "
2016,2,5,31,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  202 MVA a 28 °C con Sol  flujo N>S. "
2016,2,5,31,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  194 MVA a 29 °C con Sol  flujo N>S. "
2016,2,5,31,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  187 MVA a 30 °C con Sol  flujo N>S. "
2016,2,5,31,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones. 194 MVA a 29 °C con Sol  flujo N>S. "
2016,2,6,26,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  241 MVA a 22 °C con Sol  flujo N>S. "
2016,2,6,26,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  235 MVA a 23 °C con Sol  flujo N>S. "
2016,2,6,26,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  229 MVA a 24 °C con Sol  flujo N>S. "
2016,2,6,26,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  229 MVA a 24 °C con Sol  flujo N>S. "
2016,2,6,26,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  222 MVA a 25 °C con Sol  flujo N>S. "
2016,2,6,26,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  216 MVA a 26 °C con Sol  flujo N>S. "
2016,2,6,26,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  209 MVA a 27 °C con Sol  flujo N>S. "
2016,2,6,26,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  209 MVA a 27 °C con Sol  flujo N>S. "
2016,2,6,26,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  216 MVA a 26 °C con Sol  flujo N>S. "
2016,2,6,26,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  216 MVA a 26 °C con Sol  flujo N>S. "
2016,2,7,8,"Redistribución de Potencia Nubosidad en C. PFV Luz del Norte "
2016,2,7,8,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  194 MVA a 29 °C con Sol  flujo N>S. "
2016,2,7,8,"Redistribución de Potencia Mayor carga eólica de C. Taltal. -42 MW"
2016,2,7,8,"Redistribución de Potencia Menor carga eólica de C. Taltal. 20 MW"
2016,2,7,8,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  201 MVA a 28 °C con Sol  flujo N>S. "
2016,2,7,8,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  209 MVA a 27 °C con Sol  flujo N>S. "
2016,2,8,51,"Prorrata por Control TX Línea 220 kV C. Pinto - San Andrés  222 MVA a 25 °C con Sol  flujo N>S. "
2016,2,8,51,"Prorrata por Control TX Línea 220 kV C. Pinto - San Andrés  209 MVA a 27 °C con Sol  flujo N>S. "
2016,2,8,51,"Prorrata por Control TX Línea 220 kV C. Pinto - San Andrés  209 MVA a 27 °C con Sol  flujo N>S. "
2016,2,8,51,"Prorrata por Control TX Línea 220 kV C. Pinto - San Andrés  202 MVA a 28 °C con Sol  flujo N>S. "
2016,2,8,51,"Prorrata por Control TX Línea 220 kV C. Pinto - San Andrés  194 MVA a 29 °C con Sol  flujo N>S. "
2016,2,8,51,"Redistribución de Potencia  -20 MW"
2016,2,8,51,"Prorrata por Control TX Línea 220 kV C. Pinto - San Andrés  187 MVA a 30 °C con Sol  flujo N>S. "
2016,2,8,51,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  187 MVA a 30 °C con Sol  flujo N>S. "
2016,2,8,51,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones, 202 MVA a 28 °C con Sol, flujo N>S. "
2016,2,9,49,"Prorrata por Control TX Línea 220 kV C. Pinto - San Andrés  209 MVA a 27 °C con Sol  flujo N>S. "
2016,2,9,49,"Prorrata por Control TX Línea 220 kV C. Pinto - San Andrés  209 MVA a 27 °C con Sol  flujo N>S. "
2016,2,9,49,"Prorrata por Control TX Línea 220 kV C. Pinto - San Andrés  209 MVA a 27 °C con Sol  flujo N>S. "
2016,2,9,49,"Prorrata por Control TX Línea 220 kV C. Pinto - San Andrés  194 MVA a 29 °C con Sol  flujo N>S. "
2016,2,9,49,"Prorrata por Control TX Línea 220 kV C. Pinto - San Andrés  187 MVA a 30 °C con Sol  flujo N>S. "
2016,2,9,49,"Prorrata por Control TX Línea 220 kV C. Pinto - San Andrés  187 MVA a 30 °C con Sol  flujo N>S. "
2016,2,9,49,"Redistribución de Potencia Mayor carga eólica de C. Taltal -32 MW"
2016,2,9,49,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  209 MVA a 27 °C con Sol  flujo N>S. "
2016,2,10,53,"Prorrata por Control TX Línea 220 kV C. Pinto - San Andrés  201 MVA a 28 °C con Sol  flujo N>S. "
2016,2,10,53,"Prorrata por Control TX Línea 220 kV C. Pinto - San Andrés  194 MVA a 29 °C con Sol  flujo N>S. "
2016,2,10,53,"Prorrata por Control TX Línea 220 kV C. Pinto - San Andrés  194 MVA a 29 °C con Sol  flujo N>S. "
2016,2,10,53,"Prorrata por Control TX Línea 220 kV C. Pinto - San Andrés  178 MVA a 31 °C con Sol  flujo N>S. "
2016,2,10,53,"Redistribución de Potencia Aumento de recurso eólico -25 MW"
2016,2,10,53,"Redistribución de Potencia Aumento de recurso eólico -30 MW"
2016,2,10,53,"Prorrata por Control TX Línea 220 kV C. Pinto - San Andrés  186 MVA a 30 °C con Sol  flujo N>S. "
2016,2,10,53,"Prorrata por Control TX Línea 220 kV C. Pinto - San Andrés  215 MVA a 26 °C con Sol  flujo N>S. "
2016,2,11,0,"Central sin variación por Línea 220 kV C. Pinto - San Andrés"
2016,2,11,0,"Central sin variación por Línea 220 kV San Andrés - Cardones"
2016,2,11,0,"Central sin variación por Línea 220 kV San Andrés - Cardones"
2016,2,11,0,"Redistribución de Potencia  -20 MW"
2016,2,11,0,"Central sin variación por Línea 220 kV San Andrés - Cardones"
2016,2,11,0,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  209 MVA a 27 °C con Sol  flujo N>S. "
2016,2,12,0,"Central sin variación por Línea 220 kV San Andrés - Cardones"
2016,2,13,24,"Prorrata por Control TX Línea 220 kV C. Pinto - San Andrés  202 MVA a 28 °C con Sol  flujo N>S. "
2016,2,13,24,"Prorrata por Control TX Línea 220 kV C. Pinto - San Andrés  194 MVA a 29 °C con Sol  flujo N>S. "
2016,2,13,24,"Prorrata por Control TX Líneas 220 kV Las Palmas - Los Vilos 1 y 2  323 MVA a 26 °C con Sol  flujo N>S. "
2016,2,13,24,"Prorrata por Control TX Líneas 220 kV Las Palmas - Los Vilos 1 y 2  338 MVA a 25 °C con Sol  flujo N>S. "
