Comuna,Region,Nombre,Latitude,Longitude,id,nombre_real,pend1,n1,pend2,n2,
DIEGO DE ALMAGRO,III REGION DE ATACAMA,ESPERANZA,-26.2933759301,-69.6275331097,4,SOLAR ESPERANZA,0.0195864085751225,0.275539092832473,0.0186812615955473,0.775740507111937,
POZO AL MONTE,I REGION DE TARAPACA,LA HUAYCA SPS-1,-20.454560652,-69.5340123884,11,LA HUAYCA II,0.22491334664092,2.74644435011271,0.182398886827458,9.42755576169864,
MARIA ELENA,II REGION DE ANTOFAGASTA,MARIA ELENA,-22.2204038712,-69.5766344545,14,MARIA ELENA FV,0.464096038389259,20.2303062448607,0.190835163516352,46.8478242424243,
POZO ALMONTE,I REGION DE TARAPACA,POZO ALMONTE SOLAR 2,-20.2740612733,-69.7520496877,12,POZO ALMONTE SOLAR 2,0.0403322376614306,2.84367850307315,0.0134512059369202,5.70004910327767,
POZO ALMONTE,I REGION DE TARAPACA,POZO ALMONTE SOLAR 3,-20.2487957675,-69.7502524977,13,POZO ALMONTE SOLAR 3,0.0971946965243053,5.80380203022633,0.0354934293429343,11.9515818181818,
COMBARBALA,IV REGION DE COQUIMBO,PSF CASAS BLANCAS,-31.1949837493,-71.0308242753,2,SOLAR PSF PAMA,0.0170655772508976,0.300219471430277,0.0129200989486704,0.981074953617809,
ANDACOLLO,IV REGION DE COQUIMBO,SDGX01,-30.2271627975,-71.092482695,1,SOLAR SDGX01,0.0094903177914093,0.0523164820531705,0.00861842918985776,0.314803545660688,0.0094903177914093
VALLENAR,III REGION DE ATACAMA,SOLAR SANTA CECILIA,-29.1171775452,-70.9133927677,6,SOLAR SANTA CECILIA,0.0232641839278416,0.327141914957712,0.0188017775057539,1.04581635840841,
DIEGO DE ALMAGRO,III REGION DE ATACAMA,SOLAR DIEGO DE ALMAGRO,-26.3789341728,-70.0200625524,8,SOLAR DIEGO DE ALMAGRO,0.202033684495301,1.24967877337246,0.215490538033395,7.74523508554939,
TIERRA AMARILLA,III REGION DE ATACAMA,SOLAR LAS TERRAZAS,-27.6285415019,-70.3407997134,7,SOLAR LAS TERRAZAS,0.0279743568614786,0.157172461210138,0.0217243042671614,1.13913118944548,
COPIAPO,III REGION DE ATACAMA,SOLAR LLANO DE LLAMPOS,-27.117460615,-70.1711436602,10,SOLAR LLANO DE LLAMPOS,0.666034071408857,25.1601033960957,0.291826162616262,62.2090787878788,
COMBARBALA,IV REGION DE COQUIMBO,SOLAR PSF LOMAS COLORADAS,-31.1863824228,-71.0225509443,3,SOLAR PSF LOMAS COLORADAS,0.0160195388239537,0.34514415332653,0.0115529993815708,1.06574652648938,
COPIAPO,III REGION DE ATACAMA,SOLAR SAN ANDRES,-27.2542245145,-70.1112209731,9,SOLAR SAN ANDRES,0.265434639646512,9.74488203802178,0.180732220160791,27.6836668728098,
PENALOLEN,XII REGION METROPOLITANA,SOLAR TECHOS DE ALTAMIRA,-33.4791069734,-70.5380135013,15,SOLAR TECHOS DE ALTAMIRA,0.000678274284456278,0.00482983898911431,0.000676903385551317,0.0247118879386624,
VICUNA,IV REGION DE COQUIMBO,TAMBO REAL,-30.0485276557,-70.7701883424,5,SOLAR TAMBO REAL,0.0176855670153354,0.240556601735174,0.0208670377241806,0.819619459905173,
TALTAL,II REGION DE ANTOFAGASTA,SOLAR CONEJO,-25.516342,-70.171598,18,SOLAR CONEJO,0.491443282562911,13.7636288041765,0.424696351267779,45.9115971964544,
COPIAPO,III REGION DE ATACAMA,SOLAR CARRERA PINTO,-26.987490,-69.859584,17,SOLAR CARRERA PINTO,0.200332442320363,10.6079136123172,0.343799259160084,28.8613006777219,
TALTAL,II REGION DE ANTOFAGASTA,SOLAR PAMPA SOLAR NORTE,-25.536891,-70.193972,16,SOLAR PAMPA SOLAR NORTE,0.541365291763462,16.2693001800864,0.293540878169449,42.3365869305298,
COPIAPO,III REGION DE ATACAMA,SOLAR LUZ DEL NORTE,-27.027750,-69.893083,19,SOLAR LUZ DEL NORTE,0.697926593227761,22.1108769418823,0.605541074107411,68.7177757575757,
