"Year","Month","Day","Generacion_MWh"
"2015",1,1,0.269166666666667
"2016",1,1,0.305416666666667
"2015",2,1,0.33875
"2016",2,1,0.337083333333333
"2015",3,1,0.33125
"2016",3,1,0.302083333333333
"2015",4,1,0.000833333333333333
"2016",4,1,0.12125
"2015",5,1,0.248333333333333
"2016",5,1,0
"2014",6,1,0.175
"2015",6,1,0.204583333333333
"2016",6,1,0
"2014",7,1,0.175
"2015",7,1,0.1625
"2016",7,1,0
"2014",8,1,0.175
"2015",8,1,0.23
"2016",8,1,0
"2014",9,1,0.2625
"2015",9,1,0.300416666666667
"2016",9,1,0
"2014",10,1,0.2625
"2015",10,1,0.2375
"2016",10,1,0
"2014",11,1,0.2625
"2015",11,1,0
"2014",12,1,0.2625
"2015",12,1,0.258333333333333
"2015",1,2,0.27125
"2016",1,2,0.3175
"2015",2,2,0.34125
"2016",2,2,0.247083333333333
"2015",3,2,0.334583333333333
"2016",3,2,0.299166666666667
"2015",4,2,0.000833333333333333
"2016",4,2,0.2625
"2015",5,2,0.158333333333333
"2016",5,2,0
"2014",6,2,0.175
"2015",6,2,0.190833333333333
"2016",6,2,0
"2014",7,2,0.175
"2015",7,2,0.1625
"2016",7,2,0
"2014",8,2,0.175
"2015",8,2,0.0845833333333333
"2016",8,2,0
"2014",9,2,0.2625
"2015",9,2,0.302916666666667
"2016",9,2,0
"2014",10,2,0.2625
"2015",10,2,0.32375
"2016",10,2,0
"2014",11,2,0.2625
"2015",11,2,0.235833333333333
"2014",12,2,0.2625
"2015",12,2,0.258333333333333
"2015",1,3,0.271666666666667
"2016",1,3,0.263333333333333
"2015",2,3,0.340833333333333
"2016",2,3,0.334583333333333
"2015",3,3,0.332083333333333
"2016",3,3,0.24625
"2015",4,3,0.000833333333333333
"2016",4,3,0.0725
"2015",5,3,0.257083333333333
"2016",5,3,0
"2014",6,3,0.729166666666667
"2015",6,3,0.195416666666667
"2016",6,3,0
"2014",7,3,0.175
"2015",7,3,0.1625
"2016",7,3,0
"2014",8,3,0.175
"2015",8,3,0.0841666666666667
"2016",8,3,0
"2014",9,3,0.2625
"2015",9,3,0.297916666666667
"2016",9,3,0
"2014",10,3,0.2625
"2015",10,3,0.255416666666667
"2016",10,3,0
"2014",11,3,0.2625
"2015",11,3,0.277916666666667
"2014",12,3,0.2625
"2015",12,3,0.258333333333333
"2015",1,4,0.265416666666667
"2016",1,4,0.185
"2015",2,4,0.337083333333333
"2016",2,4,0.289583333333333
"2015",3,4,0.329583333333333
"2016",3,4,0.300416666666667
"2015",4,4,0.000833333333333333
"2016",4,4,0.18125
"2015",5,4,0.244166666666667
"2016",5,4,0
"2014",6,4,0.729166666666667
"2015",6,4,0.15
"2016",6,4,0
"2014",7,4,0.175
"2015",7,4,0.1625
"2016",7,4,0
"2014",8,4,0.233333333333333
"2015",8,4,0.16375
"2016",8,4,0
"2014",9,4,0.2625
"2015",9,4,0.3025
"2016",9,4,0
"2014",10,4,0.2625
"2015",10,4,0.335833333333333
"2016",10,4,0
"2014",11,4,0.2625
"2015",11,4,0.355
"2014",12,4,0.2625
"2015",12,4,0.3275
"2015",1,5,0.265
"2016",1,5,0.182916666666667
"2015",2,5,0.335833333333333
"2016",2,5,0.33625
"2015",3,5,0.3225
"2016",3,5,0.297916666666667
"2015",4,5,0.000833333333333333
"2016",4,5,0.0695833333333333
"2015",5,5,0.250833333333333
"2016",5,5,0.180416666666667
"2014",6,5,0.729166666666667
"2015",6,5,0.200416666666667
"2016",6,5,0
"2014",7,5,0.175
"2015",7,5,0.1625
"2016",7,5,0
"2014",8,5,0.233333333333333
"2015",8,5,0.035
"2016",8,5,0
"2014",9,5,0.2625
"2015",9,5,0.227083333333333
"2016",9,5,0
"2014",10,5,0.2625
"2015",10,5,0.285416666666667
"2016",10,5,0
"2014",11,5,0.2625
"2015",11,5,0.359583333333333
"2014",12,5,0.2625
"2015",12,5,0.330416666666667
"2015",1,6,0.265833333333333
"2016",1,6,0.25125
"2015",2,6,0.332083333333333
"2016",2,6,0.336666666666667
"2015",3,6,0.325833333333333
"2016",3,6,0.25125
"2015",4,6,0.307916666666667
"2016",4,6,0.299166666666667
"2015",5,6,0.24
"2016",5,6,0
"2014",6,6,0.729166666666667
"2015",6,6,0.203333333333333
"2016",6,6,0
"2014",7,6,0.175
"2015",7,6,0.0808333333333333
"2016",7,6,0
"2014",8,6,0.175
"2015",8,6,0.0525
"2016",8,6,0
"2014",9,6,0.2625
"2015",9,6,0.045
"2016",9,6,0
"2014",10,6,0.2625
"2015",10,6,0.2775
"2016",10,6,0
"2014",11,6,0.2625
"2015",11,6,0.35875
"2014",12,6,0.2625
"2015",12,6,0.325416666666667
"2015",1,7,0.267083333333333
"2016",1,7,0.269583333333333
"2015",2,7,0.329166666666667
"2016",2,7,0.3325
"2015",3,7,0.0695833333333333
"2016",3,7,0.298333333333333
"2015",4,7,0.299166666666667
"2016",4,7,0.292083333333333
"2015",5,7,0.1625
"2016",5,7,0
"2014",6,7,0.729166666666667
"2015",6,7,0.199166666666667
"2016",6,7,0
"2014",7,7,0.175
"2015",7,7,0.180833333333333
"2016",7,7,0
"2014",8,7,0.175
"2015",8,7,0.0983333333333333
"2016",8,7,0
"2014",9,7,0.2625
"2015",9,7,0.236666666666667
"2016",9,7,0
"2014",10,7,0.2625
"2015",10,7,0.322083333333333
"2016",10,7,0
"2014",11,7,0.2625
"2015",11,7,0.359583333333333
"2014",12,7,0.2625
"2015",12,7,0.322083333333333
"2015",1,8,0.260833333333333
"2016",1,8,0.265416666666667
"2015",2,8,0.328333333333333
"2016",2,8,0.334166666666667
"2015",3,8,0.3175
"2016",3,8,0.293333333333333
"2015",4,8,0.30125
"2016",4,8,0.220416666666667
"2015",5,8,0.216666666666667
"2016",5,8,0
"2014",6,8,0.175
"2015",6,8,0.199166666666667
"2016",6,8,0
"2014",7,8,0.175
"2015",7,8,0.176666666666667
"2016",7,8,0
"2014",8,8,0.175
"2015",8,8,0.00166666666666667
"2016",8,8,0
"2014",9,8,0.2625
"2015",9,8,0.315833333333333
"2016",9,8,0
"2014",10,8,0.2625
"2015",10,8,0.18875
"2016",10,8,0
"2014",11,8,0.2625
"2015",11,8,0.343333333333333
"2014",12,8,0.2625
"2015",12,8,0.325833333333333
"2015",1,9,0.260416666666667
"2016",1,9,0.306666666666667
"2015",2,9,0.320833333333333
"2016",2,9,0.335833333333333
"2015",3,9,0.3075
"2016",3,9,0.289166666666667
"2015",4,9,0.3
