"Year","Month","Day","Hour","Generacion_MWh"
"2016",5,4,1,0
"2016",5,4,2,0
"2016",5,4,3,0
"2016",5,4,4,0
"2016",5,4,5,0
"2016",5,4,6,0
"2016",5,4,7,0
"2016",5,4,8,0
"2016",5,4,9,0
"2016",5,4,10,0
"2016",5,4,11,0
"2016",5,4,12,0
"2016",5,4,13,0
"2016",5,4,14,0
"2016",5,4,15,0
"2016",5,4,16,0
"2016",5,4,17,0
"2016",5,4,18,0.1
"2016",5,4,19,0
"2016",5,4,20,0
"2016",5,4,21,0
"2016",5,4,22,0
"2016",5,4,23,0
"2016",5,4,24,0
"2016",5,5,1,0
"2016",5,5,2,0
"2016",5,5,3,0
"2016",5,5,4,0
"2016",5,5,5,0
"2016",5,5,6,0
"2016",5,5,7,0
"2016",5,5,8,0
"2016",5,5,9,0
"2016",5,5,10,0
"2016",5,5,11,0
"2016",5,5,12,0.3
"2016",5,5,13,0.5
"2016",5,5,14,0.7
"2016",5,5,15,0.7
"2016",5,5,16,0.7
"2016",5,5,17,0.5
"2016",5,5,18,0.2
"2016",5,5,19,0
"2016",5,5,20,0
"2016",5,5,21,0
"2016",5,5,22,0
"2016",5,5,23,0
"2016",5,5,24,0
"2016",5,6,1,0
"2016",5,6,2,0
"2016",5,6,3,0
"2016",5,6,4,0
"2016",5,6,5,0
"2016",5,6,6,0
"2016",5,6,7,0
"2016",5,6,8,0
"2016",5,6,9,0
"2016",5,6,10,0
"2016",5,6,11,0
"2016",5,6,12,0
"2016",5,6,13,0
"2016",5,6,14,0.4
"2016",5,6,15,0.8
"2016",5,6,16,0.4
"2016",5,6,17,0.4
"2016",5,6,18,0.3
"2016",5,6,19,0
"2016",5,6,20,0
"2016",5,6,21,0
"2016",5,6,22,0
"2016",5,6,23,0
"2016",5,6,24,0
"2016",5,7,1,0
"2016",5,7,2,0
"2016",5,7,3,0
"2016",5,7,4,0
"2016",5,7,5,0
"2016",5,7,6,0
"2016",5,7,7,0
"2016",5,7,8,0
"2016",5,7,9,0
"2016",5,7,10,0
"2016",5,7,11,0
"2016",5,7,12,0.3
"2016",5,7,13,0.8
"2016",5,7,14,0.9
"2016",5,7,15,0.8
"2016",5,7,16,0.4
"2016",5,7,17,0.3
"2016",5,7,18,0.2
"2016",5,7,19,0
"2016",5,7,20,0
"2016",5,7,21,0
"2016",5,7,22,0
"2016",5,7,23,0
"2016",5,7,24,0
"2016",5,8,1,0
"2016",5,8,2,0
"2016",5,8,3,0
"2016",5,8,4,0
"2016",5,8,5,0
"2016",5,8,6,0
"2016",5,8,7,0
"2016",5,8,8,0
"2016",5,8,9,0
"2016",5,8,10,0.2
"2016",5,8,11,0.5
"2016",5,8,12,0.6
"2016",5,8,13,0.5
"2016",5,8,14,0.5
"2016",5,8,15,0.7
"2016",5,8,16,0.6
"2016",5,8,17,0.4
"2016",5,8,18,0.2
"2016",5,8,19,0
"2016",5,8,20,0
"2016",5,8,21,0
"2016",5,8,22,0
"2016",5,8,23,0
"2016",5,8,24,0
"2016",5,9,1,0
"2016",5,9,2,0
"2016",5,9,3,0
"2016",5,9,4,0
"2016",5,9,5,0
"2016",5,9,6,0
"2016",5,9,7,0
"2016",5,9,8,0
"2016",5,9,9,0
"2016",5,9,10,0.3
"2016",5,9,11,0.6
"2016",5,9,12,0.8
"2016",5,9,13,0.8
"2016",5,9,14,0.7
"2016",5,9,15,0.8
"2016",5,9,16,0.7
"2016",5,9,17,0.4
"2016",5,9,18,0.2
"2016",5,9,19,0.1
"2016",5,9,20,0
"2016",5,9,21,0
"2016",5,9,22,0
"2016",5,9,23,0
"2016",5,9,24,0
"2016",5,10,1,0
"2016",5,10,2,0
"2016",5,10,3,0
"2016",5,10,4,0
"2016",5,10,5,0
"2016",5,10,6,0
"2016",5,10,7,0
"2016",5,10,8,0
"2016",5,10,9,0
"2016",5,10,10,0.1
"2016",5,10,11,0.9
"2016",5,10,12,1.4
"2016",5,10,13,1.6
"2016",5,10,14,1.6
"2016",5,10,15,1.7
"2016",5,10,16,1.6
