"hour","day","month","dir"
1,1,1,0
2,1,1,0
3,1,1,0
4,1,1,0
5,1,1,0
6,1,1,0
7,1,1,57.4694832586942
8,1,1,266.798479504055
9,1,1,500.356551276313
10,1,1,715.0972527398
11,1,1,888.754614935981
12,1,1,1006.15439690484
13,1,1,1057.73687574599
14,1,1,1039.37358432346
15,1,1,952.517468770345
16,1,1,804.156024509006
17,1,1,606.709309895833
18,1,1,378.612422943115
19,1,1,144.69516574343
20,1,1,8.89129829903444
21,1,1,0
22,1,1,0
23,1,1,0
24,1,1,0
1,2,1,0
2,2,1,0
3,2,1,0
4,2,1,0
5,2,1,0
6,2,1,0
7,2,1,58.4868599540657
8,2,1,255.225799878438
9,2,1,492.058153682285
10,2,1,711.565071105957
11,2,1,885.416187710232
12,2,1,1003.14884694417
13,2,1,1055.1431189643
14,2,1,1037.26811472575
15,2,1,950.922227647569
16,2,1,803.08007897271
17,2,1,606.130026923286
18,2,1,378.496247609456
19,2,1,149.801241715749
20,2,1,9.03541619744566
21,2,1,0
22,2,1,0
23,2,1,0
24,2,1,0
1,3,1,0
2,3,1,0
3,3,1,0
4,3,1,0
5,3,1,0
6,3,1,0
7,3,1,51.9588950156338
8,3,1,254.922492583593
9,3,1,474.667764875624
10,3,1,693.783748202854
11,3,1,881.292189704047
12,3,1,999.383305019802
13,3,1,1040.11472468906
14,3,1,1011.14930491977
15,3,1,948.749571058485
16,3,1,792.9281490114
17,3,1,562.090646584829
18,3,1,372.46195851432
19,3,1,148.750156692333
20,3,1,8.34783273562789
21,3,1,0
22,3,1,0
23,3,1,0
24,3,1,0
1,4,1,0
2,4,1,0
3,4,1,0
4,4,1,0
5,4,1,0
6,4,1,0
7,4,1,44.7201947255267
8,4,1,251.122246255477
9,4,1,463.951072533925
10,4,1,703.120671590169
11,4,1,877.41283331977
12,4,1,995.928376091851
13,4,1,998.005292786492
14,4,1,1005.03240648905
15,4,1,946.945494757758
16,4,1,800.194370693631
17,4,1,604.237389034695
18,4,1,377.478352440728
19,4,1,143.184800750679
20,4,1,8.40765548766487
21,4,1,0
22,4,1,0
23,4,1,0
24,4,1,0
1,5,1,0
2,5,1,0
3,5,1,0
4,5,1,0
5,5,1,0
6,5,1,0
7,5,1,36.5450495986475
8,5,1,183.423861993684
9,5,1,418.018886195289
10,5,1,675.207904603746
11,5,1,874.977495829264
12,5,1,952.142529673047
13,5,1,1007.27961548169
14,5,1,899.898337258233
15,5,1,811.227633727921
16,5,1,704.03415022956
17,5,1,573.866007857853
18,5,1,354.115101562606
19,5,1,138.441193961435
20,5,1,9.26719746655888
21,5,1,0
22,5,1,0
23,5,1,0
24,5,1,0
1,6,1,0
2,6,1,0
3,6,1,0
4,6,1,0
5,6,1,0
6,6,1,0
7,6,1,36.5540919376395
8,6,1,198.553360462189
9,6,1,467.272127522363
10,6,1,697.74240705702
11,6,1,873.095553080241
12,6,1,992.791216532389
13,6,1,1046.9932691786
14,6,1,1031.29571957058
15,6,1,946.978591071235
16,6,1,800.845443725586
17,6,1,605.204823387994
18,6,1,378.437900543213
19,6,1,150.295949988895
20,6,1,9.33941454688708
21,6,1,0
22,6,1,0
23,6,1,0
24,6,1,0
1,7,1,0
2,7,1,0
3,7,1,0
4,7,1,0
5,7,1,0
6,7,1,0
7,7,1,46.4077061618575
8,7,1,240.351948049333
9,7,1,479.271682739258
10,7,1,695.090622795953
11,7,1,870.917397393121
12,7,1,991.132332695855
13,7,1,1045.86032613118
14,7,1,1030.64747619629
15,7,1,946.737130059136
16,7,1,800.899572584364
17,7,1,605.44213104248
18,7,1,378.740871005588
19,7,1,150.581434885661
20,7,1,9.42340755793783
21,7,1,0
22,7,1,0
23,7,1,0
24,7,1,0
1,8,1,0
2,8,1,0
3,8,1,0
4,8,1,0
5,8,1,0
6,8,1,0
7,8,1,47.1110242293734
8,8,1,244.078158272637
9,8,1,476.726727803548
10,8,1,692.913827684191
11,8,1,869.243346320258
12,8,1,990.018468221029
13,8,1,1045.30507066515
14,8,1,1030.63062286377
15,8,1,947.173756069607
16,8,1,794.076917648315
17,8,1,591.970958709717
18,8,1,379.749628278944
19,8,1,145.938853091664
20,8,1,9.58000425332122
21,8,1,0
22,8,1,0
23,8,1,0
24,8,1,0
1,9,1,0
2,9,1,0
3,9,1,0
4,9,1,0
5,9,1,0
6,9,1,0
7,9,1,41.0307962741806
8,9,1,213.726841946443
9,9,1,460.215465227763
10,9,1,691.632069057888
11,9,1,868.536837259928
12,9,1,989.920650058323
13,9,1,1045.78329298231
14,9,1,1031.62972259521
15,9,1,948.572458902995
16,9,1,795.437357584635
17,9,1,578.497924910651
18,9,1,318.947436438666
19,9,1,136.138431701395
20,9,1,9.75650599350532
21,9,1,0
22,9,1,0
23,9,1,0
24,9,1,0
1,10,1,0
2,10,1,0
3,10,1,0
4,10,1,0
5,10,1,0
6,10,1,0
7,10,1,40.0317075823227
8,10,1,226.327429556184
9,10,1,473.704728020562
10,10,1,690.943715413411
11,10,1,868.461321512858
12,10,1,990.468056572808
13,10,1,1046.89641655816
14,10,1,959.857101122538
15,10,1,902.425056881375
16,10,1,805.433628506131
17,10,1,610.229235755073
18,10,1,357.813884152306
19,10,1,132.805641540223
20,10,1,9.93211447695891
21,10,1,0
22,10,1,0
23,10,1,0
24,10,1,0
1,11,1,0
2,11,1,0
3,11,1,0
4,11,1,0
5,11,1,0
6,11,1,0
7,11,1,34.5775648486257
8,11,1,211.205969714456
9,11,1,456.762004958259
10,11,1,689.29833984375
11,11,1,867.229521009657
12,11,1,989.677771674262
13,11,1,1046.52278900146
14,11,1,1033.19140031603
15,11,1,950.753172132704
16,11,1,805.842754787869
17,11,1,610.680145687527
18,11,1,383.516280280219
19,11,1,147.891485003961
20,11,1,9.23623200588756
21,11,1,0
