"id","nombre","año","mes","día","hour","minute","sube","baja","queda","descrp"
"8","diego de almagro","2016","02","02","9","0","","","10.0","Central sin variación por Línea 220 kV C. Pinto - San Andrés"
"19","luz del norte","2016","02","02","9","0","","4.0","96.0","Prorrata por Control TX Línea 220 kV C. Pinto - San Andrés  253 MVA a 20 °C con Sol  flujo N>S. "
"8","diego de almagro","2016","02","02","9","28","10.0","","22.0","Redistribución de Potencia Menor carga eólica PE Taltal 35 MW"
"19","luz del norte","2016","02","02","9","28","8.0","","104.0","Redistribución de Potencia Menor carga eólica PE Taltal 35 MW"
"8","diego de almagro","2016","02","02","9","45","","","22.0","Redistribución de Potencia Menor carga eólica PE Taltal 10 MW"
"19","luz del norte","2016","02","02","9","45","2.0","","106.0","Redistribución de Potencia Menor carga eólica PE Taltal 10 MW"
"8","diego de almagro","2016","02","02","10","10","","","16.0","Central sin variación por Línea 220 kV San Andrés - Cardones"
"9","san andres","2016","02","02","10","10","","1.0","34.0","Prorrata por Control TX Línea 220 kV San Andrés - Cardones  241 MVA a 22 °C con Sol  flujo N>S. "
"19","luz del norte","2016","02","02","10","10","","8.0","98.0","Prorrata por Control TX Línea 220 kV San Andrés - Cardones  241 MVA a 22 °C con Sol  flujo N>S. "
"8","diego de almagro","2016","02","02","11","6","","1.0","19.0","Prorrata por Control TX Línea 220 kV San Andrés - Cardones  229 MVA a 24 °C con Sol  flujo N>S. "
"9","san andres","2016","02","02","11","6","","2.0","32.0","Prorrata por Control TX Línea 220 kV San Andrés - Cardones  229 MVA a 24 °C con Sol  flujo N>S. "
"19","luz del norte","2016","02","02","11","6","","7.0","91.0","Prorrata por Control TX Línea 220 kV San Andrés - Cardones  229 MVA a 24 °C con Sol  flujo N>S. "
"8","diego de almagro","2016","02","02","13","34","","","19.0","Central sin variación por Línea 220 kV San Andrés - Cardones"
"9","san andres","2016","02","02","13","34","","1.0","31.0","Prorrata por Control TX Línea 220 kV San Andrés - Cardones  216 MVA a 26 °C con Sol  flujo N>S. "
"19","luz del norte","2016","02","02","13","34","","3.0","88.0","Prorrata por Control TX Línea 220 kV San Andrés - Cardones  216 MVA a 26 °C con Sol  flujo N>S. "
"8","diego de almagro","2016","02","02","14","45","","3.0","16.0","Redistribución de Potencia Aumento en carga eólica PE Taltal -52 MW"
"9","san andres","2016","02","02","14","45","","5.0","26.0","Redistribución de Potencia Aumento en carga eólica PE Taltal -52 MW"
"19","luz del norte","2016","02","02","14","45","","15.0","73.0","Redistribución de Potencia Aumento en carga eólica PE Taltal -52 MW"
"8","diego de almagro","2016","02","02","17","50","2.0","","18.0","Redistribución de Potencia Disminución de carga eólica PE Taltal 20 MW"
"9","san andres","2016","02","02","17","50","2.0","","28.0","Redistribución de Potencia Disminución de carga eólica PE Taltal 20 MW"
"19","luz del norte","2016","02","02","17","50","5.0","","78.0","Redistribución de Potencia Disminución de carga eólica PE Taltal 20 MW"
